key,ticker,name,asset_class,role,max_weight,valid_from,valid_to,lifecycle_event,successor_ticker,coverage,source,known_from,settlement_amount,settlement_date,settlement_known_at,settlement_adjustment_factor,settlement_source,last_trading_date,trading_end_source
inventory_0000D0,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),unclassified,unclassified,1.0,2024-12-17,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0000H0,0000H0,KODEX 인도Nifty미드캡100,unclassified,unclassified,1.0,2025-04-08,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70000H0005,,,,,,,,
inventory_0000J0,0000J0,PLUS 한화그룹주,unclassified,unclassified,1.0,2024-12-24,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70000J0003,,,,,,,,
inventory_0000Y0,0000Y0,HK 26-12 회사채(AA-이상)액티브,unclassified,unclassified,1.0,2024-12-24,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70000Y0004,,,,,,,,
inventory_0000Z0,0000Z0,RISE 바이오TOP10액티브,unclassified,unclassified,1.0,2024-12-24,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0001P0,0001P0,마이티 바이오시밀러&CDMO액티브,unclassified,unclassified,1.0,2024-12-24,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70001P0004,,,,,,,,
inventory_0001S0,0001S0,TIGER 26-04 회사채(A+이상)액티브,unclassified,unclassified,1.0,2024-12-24,2026-04-22,delisted,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70001S0001,,,,,,,,
inventory_0002C0,0002C0,에셋플러스 인도일등기업포커스20액티브,unclassified,unclassified,1.0,2025-02-25,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0004G0,0004G0,1Q 미국배당TOP30,unclassified,unclassified,1.0,2025-01-21,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70004G0002,,,,,,,,
inventory_0005A0,0005A0,KODEX 미국S&P500데일리커버드콜OTM,unclassified,unclassified,1.0,2025-01-07,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70005A0007,,,,,,,,
inventory_0005C0,0005C0,RISE 미국S&P500엔화노출(합성 H),unclassified,unclassified,1.0,2025-01-14,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0005D0,0005D0,SOL 전고체배터리&실리콘음극재,unclassified,unclassified,1.0,2025-01-07,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0005G0,0005G0,IBK K-AI반도체코어테크,unclassified,unclassified,1.0,2025-01-21,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70005G0001,,,,,,,,
inventory_0007F0,0007F0,KODEX 27-12 회사채(AA-이상)액티브,unclassified,unclassified,1.0,2025-01-14,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70007F0000,,,,,,,,
inventory_0007G0,0007G0,PLUS 글로벌원자력밸류체인,unclassified,unclassified,1.0,2025-01-14,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0007N0,0007N0,아이엠에셋 200,unclassified,unclassified,1.0,2025-02-11,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0008E0,0008E0,ACE 미국중심중소형제조업,unclassified,unclassified,1.0,2025-01-21,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70008E0000,,,,,,,,
inventory_0008S0,0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,unclassified,unclassified,1.0,2025-01-21,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0008T0,0008T0,SOL 화장품TOP3플러스,unclassified,unclassified,1.0,2025-01-21,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0010E0,0010E0,ACE FTSE WGBI Korea,unclassified,unclassified,1.0,2025-02-18,2026-04-21,delisted,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70010E0006,,,,,,,,
inventory_0013P0,0013P0,RISE 미국은행TOP10,unclassified,unclassified,1.0,2025-02-18,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0013R0,0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),unclassified,unclassified,1.0,2025-02-18,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0015B0,0015B0,KoAct 미국나스닥성장기업액티브,unclassified,unclassified,1.0,2025-02-25,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0015E0,0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),unclassified,unclassified,1.0,2025-02-11,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70015E0001,,,,,,,,
inventory_0015F0,0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),unclassified,unclassified,1.0,2025-02-11,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70015F0000,,,,,,,,
inventory_0015K0,0015K0,TIGER 미국소비트렌드액티브,unclassified,unclassified,1.0,2025-02-18,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0016X0,0016X0,SOL 중단기회사채(A-이상)액티브,unclassified,unclassified,1.0,2025-02-18,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0017Y0,0017Y0,1Q 종합채권(AA-이상)액티브,unclassified,unclassified,1.0,2025-02-25,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70017Y0005,,,,,,,,
inventory_0018C0,0018C0,PLUS 고배당주위클리고정커버드콜,unclassified,unclassified,1.0,2025-03-05,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0018Z0,0018Z0,RISE 미국양자컴퓨팅,unclassified,unclassified,1.0,2025-03-11,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0019K0,0019K0,TIME 미국나스닥100채권혼합50액티브,unclassified,unclassified,1.0,2025-03-25,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70019K0009,,,,,,,,
inventory_0020H0,0020H0,KoAct 글로벌양자컴퓨팅액티브,unclassified,unclassified,1.0,2025-03-11,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0021C0,0021C0,ACE TDF장기자산배분액티브,unclassified,unclassified,1.0,2025-03-11,2026-07-09,delisted,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70021C0005,,,,,,,,
inventory_0021D0,0021D0,ACE TDF2030액티브 적격,unclassified,unclassified,1.0,2025-03-11,2026-07-07,delisted,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70021D0004,,,,,,,,
inventory_0021E0,0021E0,ACE TDF2050액티브 적격,unclassified,unclassified,1.0,2025-03-11,2026-07-09,delisted,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70021E0003,,,,,,,,
inventory_0022T0,0022T0,SOL 국제금커버드콜액티브,unclassified,unclassified,1.0,2025-03-11,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0023A0,0023A0,SOL 미국양자컴퓨팅TOP10,unclassified,unclassified,1.0,2025-03-11,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0023B0,0023B0,PLUS 미국양자컴퓨팅TOP10,unclassified,unclassified,1.0,2025-03-11,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0025N0,0025N0,TIGER TDF2045 적격,unclassified,unclassified,1.0,2025-03-25,,active,,inventory_only,https://data.krx.co.kr/comm/bldAttendant/getJsonData.cmd?bld=dbms/MDC/STAT/standard/MDCSTAT04601,,,,,,,,
inventory_0026E0,0026E0,KODEX 미국S&P500버퍼3월액티브,unclassified,unclassified,1.0,2025-03-25,,active,,inventory_only,https://kind.krx.co.kr/disclosure/etfisudetail.do?method=searchEftIsuDetail&isuCd=KR70026E0008,,,,,,,,
